metadata: N/A
[1489235841.99, 66.89]
[1489235842.1, 67.29]
[1489235842.2, 71.4]
[1489235842.31, 70.14]
[1489235842.41, 67.33]
[1489235842.52, 67.33]
[1489235842.62, 67.31]
[1489235842.73, 67.33]
[1489235842.83, 67.72]
[1489235842.94, 66.45]
[1489235843.04, 67.71]
[1489235843.15, 67.72]
[1489235843.25, 70.55]
[1489235843.36, 66.89]
[1489235843.46, 67.28]
[1489235843.57, 66.87]
[1489235843.67, 70.14]
[1489235843.78, 67.28]
[1489235843.88, 67.69]
[1489235843.98, 66.47]
[1489235844.09, 66.47]
[1489235844.19, 66.44]
[1489235844.3, 67.26]
[1489235844.4, 66.9]
[1489235844.51, 66.53]
[1489235844.61, 66.46]
[1489235844.72, 66.51]
[1489235844.82, 67.4]
[1489235844.93, 66.51]
[1489235845.03, 66.94]
[1489235845.14, 66.47]
[1489235845.24, 66.9]
[1489235845.35, 66.94]
[1489235845.45, 66.94]
[1489235845.56, 66.53]
[1489235845.66, 66.94]
[1489235845.77, 66.93]
[1489235845.87, 67.35]
[1489235845.97, 66.11]
[1489235846.08, 66.52]
[1489235846.18, 66.52]
[1489235846.29, 67.36]
[1489235846.39, 66.51]
[1489235846.5, 67.35]
[1489235846.6, 66.47]
[1489235846.71, 66.9]
[1489235846.81, 66.88]
[1489235846.92, 67.72]
[1489235847.02, 68.15]
[1489235847.13, 67.74]
[1489235847.23, 66.49]
[1489235847.34, 66.9]
[1489235847.44, 68.5]
[1489235847.55, 66.46]
[1489235847.65, 65.63]
[1489235847.76, 67.69]
[1489235847.86, 66.44]
[1489235847.96, 68.12]
[1489235848.07, 67.28]
[1489235848.17, 67.69]
[1489235848.28, 66.46]
[1489235848.38, 67.71]
[1489235848.49, 65.34]
[1489235848.59, 67.41]
[1489235848.7, 67.26]
[1489235848.8, 66.85]
[1489235848.91, 73.26]
[1489235849.01, 67.93]
[1489235849.12, 67.26]
[1489235849.22, 67.69]
[1489235849.33, 67.72]
[1489235849.43, 67.26]
[1489235849.54, 67.25]
[1489235849.64, 67.72]
[1489235849.75, 67.28]
[1489235849.85, 68.14]
[1489235849.96, 66.4]
[1489235850.06, 67.68]
[1489235850.17, 68.1]
[1489235850.27, 68.45]
[1489235850.38, 67.3]
[1489235850.48, 67.72]
[1489235850.59, 67.28]
[1489235850.69, 66.46]
[1489235850.8, 66.44]
[1489235850.9, 65.41]
[1489235851.01, 68.1]
[1489235851.11, 69.23]
[1489235851.22, 66.9]
[1489235851.32, 68.14]
[1489235851.43, 66.85]
[1489235851.53, 69.29]
[1489235851.64, 67.3]
[1489235851.74, 66.87]
[1489235851.85, 66.83]
[1489235851.95, 66.87]
